"code" ,"name"                                ,"flag"                                                                                                                                 ,"status"
"MAC"  ,"MAcau"                               ,"https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Macau.svg"                                                                ,"active"
"MAD"  ,"Madagascar"                          ,"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg"                                                           ,"active"
"MAW"  ,"Malawi"                              ,"https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg"                                                               ,"active"
"MAS"  ,"Malaysia"                            ,"https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg"                                                             ,"active"
"MDV"  ,"Maldives"                            ,"https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg"                                                             ,"active"
"MLI"  ,"Mali"                                ,"https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg"                                                                 ,"active"
"MLT"  ,"Malta"                               ,"https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg"                                                                ,"active"
"MHL"  ,"Marshall Islands"                    ,"https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg"                                                 ,"active"
"MTN"  ,"Mauritania"                          ,"https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg"                                                           ,"active"
"MRI"  ,"Mauritius"                           ,"https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg"                                                            ,"active"
"MEX"  ,"Mexico"                              ,"https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg"                                                               ,"active"
"MDA"  ,"Moldova"                             ,"https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg"                                                              ,"active"
"MON"  ,"Monaco"                              ,"https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg"                                                               ,"active"
"MGL"  ,"Mongolia"                            ,"https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg"                                                             ,"active"
"MNE"  ,"Montenegro"                          ,"https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg"                                                           ,"active"
"MAR"  ,"Morocco"                             ,"https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg"                                                              ,"active"
"MOZ"  ,"Mozambique"                          ,"https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg"                                                           ,"active"
"MYA"  ,"Myanmar"                             ,"https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg"                                                              ,"active"
"NAM"  ,"Namibia"                             ,"https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg"                                                              ,"active"
"NRU"  ,"Nauru"                               ,"https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg"                                                                ,"active"
"NEP"  ,"Nepal"                               ,"https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg"                                                                ,"active"
"NED"  ,"Netherlands"                         ,"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg"                                                      ,"active"
"NZL"  ,"New Zealand"                         ,"https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg"                                                          ,"active"
"NCA"  ,"Nicaragua"                           ,"https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg"                                                            ,"active"
"NIG"  ,"Niger"                               ,"https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg"                                                                ,"active"
"NGR"  ,"Nigeria"                             ,"https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg"                                                              ,"active"
"PRK"  ,"North Korea"                         ,"https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg"                                                          ,"active"
"MKD"  ,"North Macedonia"                     ,"https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_North_Macedonia.svg"                                                      ,"active"
"NOR"  ,"Norway"                              ,"https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg"                                                               ,"active"
"OMA"  ,"Oman"                                ,"https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg"                                                                 ,"active"
"PAK"  ,"Pakistan"                            ,"https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg"                                                             ,"active"
"PLW"  ,"Palau"                               ,"https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg"                                                                ,"active"
"PLE"  ,"Palestine"                           ,"https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Palestine.svg"                                                            ,"active"
"PAN"  ,"Panama"                              ,"https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg"                                                               ,"active"
"PNG"  ,"Papua New Guinea"                    ,"https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg"                                                     ,"active"
"PAR"  ,"Paraguay"                            ,"https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg"                                                             ,"active"
"PER"  ,"Peru"                                ,"https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg"                                                                 ,"active"
"PHI"  ,"Philippines"                         ,"https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg"                                                      ,"active"
"POL"  ,"Poland"                              ,"https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/320px-Flag_of_Poland.svg.png"                                 ,"active"
"POR"  ,"Portugal"                            ,"https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg"                                                             ,"active"
"PUR"  ,"Puerto Rico"                         ,"https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_Puerto_Rico.svg"                                                          ,"active"
"QAT"  ,"Qatar"                               ,"https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg"                                                                ,"active"
"CGO"  ,"Republic of the Congo"               ,"https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_the_Republic_of_the_Congo.svg"                                            ,"active"
"ROU"  ,"Romania"                             ,"https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg"                                                              ,"active"
"RUS"  ,"Russia"                              ,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/320px-Flag_of_Russia.svg.png"                                 ,"active"
"RWA"  ,"Rwanda"                              ,"https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg"                                                               ,"active"
"SKN"  ,"Saint Kitts and Nevis"               ,"https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg"                                                ,"active"
"LCA"  ,"Saint Lucia"                         ,"https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg"                                                          ,"active"
