game,sport,code,"event",gold,silver,bronze
beijing-2022,speed-skating,SSK,"Women's Team Pursuit",CAN,JPN,NED
tokyo-2020,3x3-basketball,BK3,"Men",LAT,ROC,SRB
tokyo-2020,3x3-basketball,BK3,"Women",USA,ROC,CHN
tokyo-2020,archery,ARC,"Men's Individual",TUR,ITA,JPN
tokyo-2020,archery,ARC,"Men's Team",KOR,TPE,JPN
tokyo-2020,archery,ARC,"Mixed Team",KOR,NED,MEX
tokyo-2020,archery,ARC,"Women's Individual",KOR,ROC,ITA
tokyo-2020,archery,ARC,"Women's Team",KOR,ROC,GER
tokyo-2020,artistic-gymnastics,GAR,"Men's All-Around",JPN,CHN,ROC
tokyo-2020,artistic-gymnastics,GAR,"Men's Floor Exercise",ISR,ESP,CHN
tokyo-2020,artistic-gymnastics,GAR,"Men's Horizontal Bar",JPN,CRO,ROC
tokyo-2020,artistic-gymnastics,GAR,"Men's Parallel Bars",CHN,GER,TUR
tokyo-2020,artistic-gymnastics,GAR,"Men's Pommel Horse",GBR,TPE,JPN
tokyo-2020,artistic-gymnastics,GAR,"Men's Rings",CHN,CHN,GRE
tokyo-2020,artistic-gymnastics,GAR,"Men's Team",ROC,JPN,CHN
tokyo-2020,artistic-gymnastics,GAR,"Men's Vault",KOR,ROC,ARM
tokyo-2020,artistic-gymnastics,GAR,"Women's All-Around",USA,BRA,ROC
tokyo-2020,artistic-gymnastics,GAR,"Women's Balance Beam",CHN,CHN,USA
tokyo-2020,artistic-gymnastics,GAR,"Women's Floor Exercise",USA,ITA,JPN+ROC
tokyo-2020,artistic-gymnastics,GAR,"Women's Team",ROC,USA,GBR
tokyo-2020,artistic-gymnastics,GAR,"Women's Uneven Bars",BEL,ROC,USA
tokyo-2020,artistic-gymnastics,GAR,"Women's Vault",BRA,USA,KOR
tokyo-2020,artistic-swimming,SWA,"Duet",ROC,CHN,UKR
tokyo-2020,artistic-swimming,SWA,"Team",ROC,CHN,UKR
tokyo-2020,athletics,ATH,"4 x 400m Relay Mixed",POL,DOM,USA
tokyo-2020,athletics,ATH,"Men's 10000m",ETH,UGA,UGA
tokyo-2020,athletics,ATH,"Men's 100m",ITA,USA,CAN
tokyo-2020,athletics,ATH,"Men's 110m Hurdles",JAM,USA,JAM
tokyo-2020,athletics,ATH,"Men's 1500m",NOR,KEN,GBR
tokyo-2020,athletics,ATH,"Men's 200m",CAN,USA,USA
tokyo-2020,athletics,ATH,"Men's 20km Race Walk",ITA,JPN,JPN
tokyo-2020,athletics,ATH,"Men's 3000m Steeplechase",MAR,ETH,KEN
tokyo-2020,athletics,ATH,"Men's 4 x 100m Relay",ITA,GBR,CAN
tokyo-2020,athletics,ATH,"Men's 4 x 400m Relay",USA,NED,BOT
tokyo-2020,athletics,ATH,"Men's 400m",BAH,COL,GRN
tokyo-2020,athletics,ATH,"Men's 400m Hurdles",NOR,USA,BRA
tokyo-2020,athletics,ATH,"Men's 5000m",UGA,CAN,USA
tokyo-2020,athletics,ATH,"Men's 50km Race Walk",POL,GER,CAN
tokyo-2020,athletics,ATH,"Men's 800m",KEN,KEN,POL
tokyo-2020,athletics,ATH,"Men's Decathlon",CAN,FRA,AUS
tokyo-2020,athletics,ATH,"Men's Discus Throw",SWE,SWE,AUT
tokyo-2020,athletics,ATH,"Men's Hammer Throw",POL,NOR,POL
tokyo-2020,athletics,ATH,Men's High Jump,QAT+ITA,,BLR,
tokyo-2020,athletics,ATH,"Men's Javelin Throw",IND,CZE,CZE
tokyo-2020,athletics,ATH,"Men's Long Jump",GRE,CUB,CUB
tokyo-2020,athletics,ATH,"Men's Marathon",KEN,NED,BEL
tokyo-2020,athletics,ATH,"Men's Pole Vault",SWE,USA,BRA
tokyo-2020,athletics,ATH,"Men's Shot Put",USA,USA,NZL
tokyo-2020,athletics,ATH,"Men's Triple Jump",POR,CHN,BUR
tokyo-2020,athletics,ATH,"Women's 10000m",NED,BRN,ETH
tokyo-2020,athletics,ATH,"Women's 100m",JAM,JAM,JAM
tokyo-2020,athletics,ATH,"Women's 100m Hurdles",PUR,USA,JAM
tokyo-2020,athletics,ATH,"Women's 1500m",KEN,GBR,NED
tokyo-2020,athletics,ATH,"Women's 200m",JAM,NAM,USA
tokyo-2020,athletics,ATH,"Women's 20km Race Walk",ITA,COL,CHN
tokyo-2020,athletics,ATH,"Women's 3000m Steeplechase",UGA,USA,KEN
tokyo-2020,athletics,ATH,"Women's 4 x 100m Relay",JAM,USA,GBR
tokyo-2020,athletics,ATH,"Women's 4 x 400m Relay",USA,POL,JAM
tokyo-2020,athletics,ATH,"Women's 400m",BAH,DOM,USA
tokyo-2020,athletics,ATH,"Women's 400m Hurdles",USA,USA,NED
tokyo-2020,athletics,ATH,"Women's 5000m",NED,KEN,ETH
tokyo-2020,athletics,ATH,"Women's 800m",USA,GBR,USA
tokyo-2020,athletics,ATH,"Women's Discus Throw",USA,GER,CUB
tokyo-2020,athletics,ATH,"Women's Hammer Throw",POL,CHN,POL
tokyo-2020,athletics,ATH,"Women's Heptathlon",BEL,NED,NED
tokyo-2020,athletics,ATH,"Women's High Jump",ROC,AUS,UKR
tokyo-2020,athletics,ATH,"Women's Javelin Throw",CHN,POL,AUS
tokyo-2020,athletics,ATH,"Women's Long Jump",GER,USA,NGR
tokyo-2020,athletics,ATH,"Women's Marathon",KEN,KEN,USA
tokyo-2020,athletics,ATH,"Women's Pole Vault",USA,ROC,GBR
tokyo-2020,athletics,ATH,"Women's Shot Put",CHN,USA,NZL
tokyo-2020,athletics,ATH,"Women's Triple Jump",VEN,POR,ESP
tokyo-2020,badminton,BDM,"Men's Doubles",TPE,CHN,MAS
tokyo-2020,badminton,BDM,"Men's Singles",DEN,CHN,INA
tokyo-2020,badminton,BDM,"Mixed Doubles",CHN,CHN,JPN
tokyo-2020,badminton,BDM,"Women's Doubles",INA,CHN,KOR
tokyo-2020,badminton,BDM,"Women's Singles",CHN,TPE,IND
tokyo-2020,baseball-softball,BSB,"Baseball",JPN,USA,DOM
tokyo-2020,baseball-softball,BSB,"Softball",JPN,USA,CAN
tokyo-2020,basketball,BKB,"Men",USA,FRA,AUS
tokyo-2020,basketball,BKB,"Women",USA,JPN,FRA
tokyo-2020,beach-volleyball,VBV,"Men",NOR,ROC,QAT
tokyo-2020,beach-volleyball,VBV,"Women",USA,AUS,SUI
tokyo-2020,boxing,BOX,"Men's Feather (52-57kg)",ROC,USA,CUB+GHA
